User;Followers;Streams;AverageViews;WatchTime;PeakViewers;StreamTime
365;19,197,927;6,952;6,952;7,216,997;32,188;1,038
365;17,708,864;104,278;104,278;174,613,961;672,744;1,674
365;17,291,250;75,753;75,753;65,167,120;3,846,256;860
365;16,797,173;36,815;36,815;16,677,642;274,905;453
365;15,733,702;25,578;25,578;29,095,911;383,747;1,137
365;12,188,000;10,378;10,378;9,923,972;178,645;956
365;12,057,185;26,077;26,077;27,173,021;211,423;1,042
365;12,038,776;113;113;85;300;0
365;11,526,610;9,750;9,750;13,467,400;88,062;1,381
365;11,346,318;7,399;7,399;186,834;21,769;25
365;11,127,687;12,311;12,311;33,958,028;50,241;2,758
365;10,431,868;16,193;16,193;11,922,274;52,844;736
365;9,613,747;19,340;19,340;3,606,966;115,691;186
365;9,383,356;7,884;7,884;3,236,699;26,222;410
365;8,957,635;15,037;15,037;34,624,518;149,178;2,302
365;8,250,993;12,064;12,064;22,130,088;147,735;1,834
365;7,667,847;16,013;16,013;29,260,690;74,588;1,827
365;7,420,962;3,599;3,599;49,488;6,526;13
365;7,317,611;55,747;55,747;16,947,359;591,778;304
365;7,313,579;30,830;30,830;67,194,171;197,763;2,179
365;7,309,527;3,662;3,662;119,949;9,781;32
365;7,276,172;1,224;1,224;861,410;19,537;703
365;7,245,730;14,762;14,762;15,614,675;59,101;1,057
365;7,214,361;3,485;3,485;4,214,962;28,380;1,209
365;7,151,141;4,509;4,509;5,617,292;33,173;1,245
365;7,086,098;52,750;52,750;68,707,072;101,780;1,302
365;7,055,026;2,482;2,482;673,485;81,635;271
365;6,672,322;5,299;5,299;4,434,127;22,677;836
365;6,632,185;10,532;10,532;7,741,634;57,155;735
365;6,561,777;29,855;29,855;49,769,716;202,668;1,667
365;6,526,698;4,390;4,390;34,609,983;212,197;7,883
365;6,444,483;19,675;19,675;728,006;54,080;37
365;6,322,016;11,486;11,486;52,833,310;29,103;4,599
365;6,207,057;3,453;3,453;726,017;15,374;210
365;6,193,884;17,852;17,852;3,101,827;117,097;173
365;6,120,667;7,784;7,784;157,628;19,995;20
365;5,870,501;10,084;10,084;191,613;95,893;19
365;5,716,466;3,214;3,214;4,633,431;53,268;1,441
365;5,675,659;3,961;3,961;8,831,808;59,121;2,229
365;5,649,442;4,647;4,647;4,931,509;18,678;1,061
365;5,582,747;30,834;30,834;21,584,122;257,202;700
365;5,506,522;1,843;1,843;178,364;6,564;96
365;5,456,765;14,480;14,480;33,264,778;120,622;2,297
365;5,359,549;27,633;27,633;11,799,457;217,866;427
365;5,241,149;2,414;2,414;3,768,003;56,146;1,560
365;4,890,426;10,804;10,804;1,501,866;64,011;139
365;4,876,187;3,138;3,138;86,307;9,197;27
365;4,779,073;19,334;19,334;2,117,132;58,997;109
365;4,754,156;774;774;2,515;1,156;3
365;4,658,925;1,320;1,320;2,392,289;3,506;1,811
